SLN,name,SchoolYear,TotEvictions,EvicFilAmt,Year,rohh,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23,evicRate,schoolType
116,Burnet Elementary,2022-2023,21,4807.093,2022,650.2351,0.0560344827586207,0.0681318681318681,0.114035087719298,0.102844638949672,13,31,26,47,32.2960110889123,Elementary School
116,Burnet Elementary,2023-2024,32,1592.43222222222,2023,650.2351,0.0560344827586207,0.0681318681318681,0.114035087719298,0.102844638949672,13,31,26,47,49.2129692783426,Elementary School
116,Burnet Elementary,2024-2025,22,2441.38888888889,2024,650.2351,0.0560344827586207,0.0681318681318681,0.114035087719298,0.102844638949672,13,31,26,47,33.8339163788605,Elementary School
117,Burleson Elementary,2017-2018,86,1169.63953488372,2017,907.8011,0.108695652173913,0.145021645021645,0.107296137339056,0.0946236559139785,25,67,25,44,94.7344082310542,Elementary School
117,Burleson Elementary,2018-2019,83,1166.63855421687,2018,907.8011,0.108695652173913,0.145021645021645,0.107296137339056,0.0946236559139785,25,67,25,44,91.4297195718313,Elementary School
117,Burleson Elementary,2019-2020,53,1473.75471698113,2019,907.8011,0.108695652173913,0.145021645021645,0.107296137339056,0.0946236559139785,25,67,25,44,58.3828329796031,Elementary School
117,Burleson Elementary,2020-2021,77,2172.37446153846,2020,907.8011,0.108695652173913,0.145021645021645,0.107296137339056,0.0946236559139785,25,67,25,44,84.8203422533857,Elementary School
117,Burleson Elementary,2021-2022,77,2807.2051948052,2021,907.8011,0.108695652173913,0.145021645021645,0.107296137339056,0.0946236559139785,25,67,25,44,84.8203422533857,Elementary School
117,Burleson Elementary,2022-2023,92,4388.727125,2022,907.8011,0.108695652173913,0.145021645021645,0.107296137339056,0.0946236559139785,25,67,25,44,101.3437855495,Elementary School
117,Burleson Elementary,2023-2024,102,3953.73722891566,2023,907.8011,0.108695652173913,0.145021645021645,0.107296137339056,0.0946236559139785,25,67,25,44,112.359414413576,Elementary School
117,Burleson Elementary,2024-2025,36,2574.08464285714,2024,907.8011,0.108695652173913,0.145021645021645,0.107296137339056,0.0946236559139785,25,67,25,44,39.6562639106738,Elementary School
118,Black STEAM Academy,2017-2018,405,1334.0510617284,2017,2461.5386,,,,,,,,,164.531240745118,Elementary School
118,Black STEAM Academy,2018-2019,389,1185.88915167095,2018,2461.5386,,,,,,,,,158.031241110743,Elementary School
118,Black STEAM Academy,2019-2020,320,1504.25021875,2019,2461.5386,,,,,,,,,129.9999926875,Elementary School
118,Black STEAM Academy,2020-2021,277,2137.82306451613,2020,2461.5386,,,,,,,,,112.531243670118,Elementary School
118,Black STEAM Academy,2021-2022,342,1815.54837758112,2021,2461.5386,,,,,,,,,138.937492184766,Elementary School
118,Black STEAM Academy,2022-2023,485,2992.93432304038,2022,2461.5386,,,,,,,,,197.031238916993,Elementary School
118,Black STEAM Academy,2023-2024,393,2591.26097765363,2023,2461.5386,,,,,,,,,159.656241019336,Elementary School
118,Black STEAM Academy,2024-2025,242,2686.30743961353,2024,2461.5386,,,,,,,,,98.3124944699222,Elementary School
119,Chapel Hill Elementary,2017-2018,22,604.613636363636,2017,901.0639,0.0933333333333333,0.0952380952380952,0.101694915254237,0.101538461538462,14,28,18,33,24.4155825130715,Elementary School
119,Chapel Hill Elementary,2018-2019,22,1997.75090909091,2018,901.0639,0.0933333333333333,0.0952380952380952,0.101694915254237,0.101538461538462,14,28,18,33,24.4155825130715,Elementary School
119,Chapel Hill Elementary,2019-2020,20,4751.074,2019,901.0639,0.0933333333333333,0.0952380952380952,0.101694915254237,0.101538461538462,14,28,18,33,22.1959841027923,Elementary School
119,Chapel Hill Elementary,2020-2021,9,3792.28111111111,2020,901.0639,0.0933333333333333,0.0952380952380952,0.101694915254237,0.101538461538462,14,28,18,33,9.98819284625652,Elementary School
119,Chapel Hill Elementary,2021-2022,25,2146.2432,2021,901.0639,0.0933333333333333,0.0952380952380952,0.101694915254237,0.101538461538462,14,28,18,33,27.7449801284903,Elementary School
119,Chapel Hill Elementary,2022-2023,72,3266.93235294118,2022,901.0639,0.0933333333333333,0.0952380952380952,0.101694915254237,0.101538461538462,14,28,18,33,79.9055427700522,Elementary School
119,Chapel Hill Elementary,2023-2024,43,3676.472,2023,901.0639,0.0933333333333333,0.0952380952380952,0.101694915254237,0.101538461538462,14,28,18,33,47.7213658210034,Elementary School
119,Chapel Hill Elementary,2024-2025,32,3040.28125,2024,901.0639,0.0933333333333333,0.0952380952380952,0.101694915254237,0.101538461538462,14,28,18,33,35.5135745644676,Elementary School
120,Caillet Elementary,2017-2018,48,980.719375,2017,1008.0441,0.0294117647058824,0.0286343612334802,0.0503875968992248,0.0506072874493927,7,13,13,25,47.6169643768561,Elementary School
120,Caillet Elementary,2018-2019,35,1144.88314285714,2018,1008.0441,0.0294117647058824,0.0286343612334802,0.0503875968992248,0.0506072874493927,7,13,13,25,34.7207031914576,Elementary School
120,Caillet Elementary,2019-2020,18,1117.79777777778,2019,1008.0441,0.0294117647058824,0.0286343612334802,0.0503875968992248,0.0506072874493927,7,13,13,25,17.8563616413211,Elementary School
120,Caillet Elementary,2020-2021,9,3004.72714285714,2020,1008.0441,0.0294117647058824,0.0286343612334802,0.0503875968992248,0.0506072874493927,7,13,13,25,8.92818082066053,Elementary School
120,Caillet Elementary,2021-2022,14,2837.18,2021,1008.0441,0.0294117647058824,0.0286343612334802,0.0503875968992248,0.0506072874493927,7,13,13,25,13.888281276583,Elementary School
120,Caillet Elementary,2022-2023,23,3951.86705882353,2022,1008.0441,0.0294117647058824,0.0286343612334802,0.0503875968992248,0.0506072874493927,7,13,13,25,22.8164620972436,Elementary School
120,Caillet Elementary,2023-2024,27,3124.12285714286,2023,1008.0441,0.0294117647058824,0.0286343612334802,0.0503875968992248,0.0506072874493927,7,13,13,25,26.7845424619816,Elementary School
120,Caillet Elementary,2024-2025,7,1613.12166666667,2024,1008.0441,0.0294117647058824,0.0286343612334802,0.0503875968992248,0.0506072874493927,7,13,13,25,6.94414063829152,Elementary School
121,Carpenter Elementary,2017-2018,238,1401.1268487395,2017,1257.6974,0.197530864197531,0.175675675675676,0.306818181818182,0.30625,16,26,27,49,189.234707808094,Elementary School
121,Carpenter Elementary,2018-2019,286,1288.42020979021,2018,1257.6974,0.197530864197531,0.175675675675676,0.306818181818182,0.30625,16,26,27,49,227.399690895441,Elementary School
121,Carpenter Elementary,2019-2020,181,1322.17226519337,2019,1257.6974,0.197530864197531,0.175675675675676,0.306818181818182,0.30625,16,26,27,49,143.91379039187,Elementary School
121,Carpenter Elementary,2020-2021,188,2486.41777173913,2020,1257.6974,0.197530864197531,0.175675675675676,0.306818181818182,0.30625,16,26,27,49,149.479517092108,Elementary School
121,Carpenter Elementary,2021-2022,208,2282.92985507246,2021,1257.6974,0.197530864197531,0.175675675675676,0.306818181818182,0.30625,16,26,27,49,165.381593378503,Elementary School
121,Carpenter Elementary,2022-2023,197,3254.48043715847,2022,1257.6974,0.197530864197531,0.175675675675676,0.306818181818182,0.30625,16,26,27,49,156.635451420986,Elementary School
121,Carpenter Elementary,2023-2024,180,3377.20917721519,2023,1257.6974,0.197530864197531,0.175675675675676,0.306818181818182,0.30625,16,26,27,49,143.11868657755,Elementary School
121,Carpenter Elementary,2024-2025,96,3412.81021978022,2024,1257.6974,0.197530864197531,0.175675675675676,0.306818181818182,0.30625,16,26,27,49,76.3299661746935,Elementary School
122,Carr Elementary,2017-2018,39,1546.18230769231,2017,929.9779,0.1,0.0703517587939699,0.157894736842105,0.133640552995392,10,14,18,29,41.9364804260402,Elementary School
122,Carr Elementary,2018-2019,40,1248.15925,2018,929.9779,0.1,0.0703517587939699,0.157894736842105,0.133640552995392,10,14,18,29,43.0117747959387,Elementary School
122,Carr Elementary,2019-2020,21,1363.00476190476,2019,929.9779,0.1,0.0703517587939699,0.157894736842105,0.133640552995392,10,14,18,29,22.5811817678678,Elementary School
122,Carr Elementary,2020-2021,16,543.666666666667,2020,929.9779,0.1,0.0703517587939699,0.157894736842105,0.133640552995392,10,14,18,29,17.2047099183755,Elementary School
122,Carr Elementary,2021-2022,18,625.555555555556,2021,929.9779,0.1,0.0703517587939699,0.157894736842105,0.133640552995392,10,14,18,29,19.3552986581724,Elementary School
122,Carr Elementary,2022-2023,13,3881.42857142857,2022,929.9779,0.1,0.0703517587939699,0.157894736842105,0.133640552995392,10,14,18,29,13.9788268086801,Elementary School
122,Carr Elementary,2023-2024,24,3800.18058823529,2023,929.9779,0.1,0.0703517587939699,0.157894736842105,0.133640552995392,10,14,18,29,25.8070648775632,Elementary School
122,Carr Elementary,2024-2025,20,2458.01153846154,2024,929.9779,0.1,0.0703517587939699,0.157894736842105,0.133640552995392,10,14,18,29,21.5058873979693,Elementary School
125,Casa View Elementary,2017-2018,27,1195.11111111111,2017,991.0201,0.0617283950617284,0.0675944333996024,0.100358422939068,0.0914179104477612,15,34,28,49,27.2446542708871,Elementary School
125,Casa View Elementary,2018-2019,22,1227.88181818182,2018,991.0201,0.0617283950617284,0.0675944333996024,0.100358422939068,0.0914179104477612,15,34,28,49,22.1993479244266,Elementary School
125,Casa View Elementary,2019-2020,12,1690.37,2019,991.0201,0.0617283950617284,0.0675944333996024,0.100358422939068,0.0914179104477612,15,34,28,49,12.1087352315054,Elementary School
125,Casa View Elementary,2020-2021,7,2208.86142857143,2020,991.0201,0.0617283950617284,0.0675944333996024,0.100358422939068,0.0914179104477612,15,34,28,49,7.06342888504481,Elementary School
125,Casa View Elementary,2021-2022,10,2184.617,2021,991.0201,0.0617283950617284,0.0675944333996024,0.100358422939068,0.0914179104477612,15,34,28,49,10.0906126929212,Elementary School
125,Casa View Elementary,2022-2023,14,3602.66222222222,2022,991.0201,0.0617283950617284,0.0675944333996024,0.100358422939068,0.0914179104477612,15,34,28,49,14.1268577700896,Elementary School
125,Casa View Elementary,2023-2024,19,3883.385,2023,991.0201,0.0617283950617284,0.0675944333996024,0.100358422939068,0.0914179104477612,15,34,28,49,19.1721641165502,Elementary School
