SLN,name,tot_pop,bp_pop,bp_u18,rohh,thh,med_rent,mhi,per_as,per_bl,per_wh,per_his,tot_mf,tot_units,MAR,IncomeNeed,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23
173,Moroles Elementary,5710.935,0.0872347172573318,92.6024,2388.6147,2984.4684,1283.85714285714,66772.7142857143,0.0190098994297781,0.233065531300917,0.279487737121855,0.437164002041697,22,6580,1690.85714285714,81161.1428571429,0.0846153846153846,0.0644171779141104,0.037593984962406,0.0520231213872832,11,21,5,18
174,Geneva Heights Elementary,13076.9328,0.0631487301058854,37.3692,3172.3477,6682.9082,1738.78571428571,128150.642857143,0.0462384267968403,0.0275802824344253,0.751932655033602,0.135303998809262,121,4633,1554.85365853659,74632.9756097561,0.149350649350649,0.12,0.0786516853932584,0.0953947368421053,23,30,14,29
175,Umphrey Lee Elementary,8462.834,0.30874716436598,1199.0368,1593.5995,2777.221,1294.125,52517.625,0.000137601659207778,0.547495437107711,0.0172463503360695,0.430628912253271,8,1504,1273.42857142857,61124.5714285714,0.184210526315789,0.183206106870229,0.148809523809524,0.127906976744186,35,72,25,44
176,Lowe Sr Elementary,3537.0486,0.304036761044222,605.2805,1368.6612,1425.5688,1001.5,41624.8333333333,0.15658594569495,0.230850772025015,0.0996660888402834,0.469223549826259,11,2129,843.375,40482,0.108786610878661,0.116379310344828,0.128,0.115546218487395,26,54,32,55
177,Lipscomb Elementary,7024.2685,0.147851509377809,213.6118,2385.8789,3415.9504,1336.375,88475.125,0.018366638462069,0.182366761748928,0.450644148924546,0.318208735898977,112,2417,1097.15584415584,52663.4805194805,0.0509554140127389,0.0474683544303798,0.0655737704918033,0.0619469026548673,8,15,12,21
178,Holland at Lisbon Elementary,4358.5794,0.280677965852819,498.2547,672.908,1597.8671,1098.4,36762.2,0.00497919115572381,0.451976462789688,0.0111488390001568,0.529552610651076,1,193,1429,68592,0.0941176470588235,0.0939597315436242,0.0670731707317073,0.086687306501548,16,28,11,28
180,Macon Elementary,4051.7992,0.277382452713846,502.4409,360.1079,1074.5922,1105.5,54442.1666666667,0.00787055291387589,0.148450865975787,0.0493604174659001,0.792530957605204,1,39,,,0.0639269406392694,0.0491803278688525,0.0363636363636364,0.0376470588235294,14,21,8,16
181,Maple Lawn Elementary,22195.8657,0.155075591397185,650.7446,10257.8987,12512.9096,1483.05263157895,76089.8421052632,0.0898096486500186,0.168482025010631,0.38713715050096,0.325404027832084,79,11316,1441.81818181818,69207.2727272727,0.187214611872146,0.196902654867257,0.257936507936508,0.243243243243243,41,89,65,117
182,Marcus Elementary,6270.6525,0.133818657627735,374.6329,1122.7695,1831.6211,1464.75,75409.5,0.0268170656881401,0.0177914180382345,0.218897092447716,0.725308538465495,5,1325,1215.8,58358.4,0.0851063829787234,0.0854092526690392,0.0716723549488055,0.0755711775043937,24,48,21,43
183,Marsalis Elementary,5529.4289,0.129636859965773,316.1108,659.7833,1952.8431,1238.4,48389.2,6.87231912865359e-07,0.659162883892042,0.0590948009115372,0.265623670466221,2,378,1238,59424,0.139175257731959,0.131506849315068,0.0710659898477157,0.078740157480315,27,48,14,30
184,Milam Elementary,43324.5885,0.101810686557358,138.3581,21995.8075,28932.6948,1860.64516129032,113365.40625,0.0679318281349631,0.0763337152065507,0.690536576013873,0.125704501498035,276,36280,2244.43902439024,107733.073170732,0.150943396226415,0.140684410646388,0.202898550724638,0.183823529411765,24,37,28,50
185,Miller Elementary,8676.3329,0.242825549028899,767.888,1078.1916,3004.238,1036,39558.625,0.00132954787845911,0.441568718507793,0.02488608983641,0.52423628189739,4,188,1054.5,50616,0.144329896907216,0.1,0.058252427184466,0.0704225352112676,14,19,6,15
187,Moseley Elementary,7188.1366,0.228402657233865,649.9718,679.5385,1909.7554,1115,52176,0.02322821744929,0.12200363582406,0.0992857731724241,0.754064551305272,3,283,876,42048,0.0683453237410072,0.0639853747714808,0.0503597122302158,0.050185873605948,19,35,14,27
188,Mount Auburn Elementary,8372.1416,0.100105497498991,201.623,2195.8481,3503.7251,1404.09090909091,81122.0909090909,0.0221449431767853,0.105759033029255,0.278880197152901,0.577184014661195,19,1981,1574,75552,0.076555023923445,0.0763723150357995,0.102222222222222,0.0944700460829493,16,32,23,41
189,Oliver Elementary,9670.6513,0.306175872559897,1231.6426,1924.5486,3116.6782,1291.71428571429,48612.2857142857,0.00415539747565916,0.56536109413851,0.0567721741761075,0.369532287861522,5,940,1085,52080,0.158415841584158,0.120418848167539,0.1,0.147540983606557,16,23,8,27
190,Peabody Elementary,3187.5969,0.206592496058708,311.8086,439.8567,1040.6385,1077.83333333333,52955.1666666667,0.00352895938630132,0.0237720459572539,0.131598697438814,0.824527718671078,0,0,,,0.0196078431372549,0.018348623853211,0.100719424460432,0.0909090909090909,2,4,14,25
192,Peeler Elementary,2219.2118,0.172126337828593,77.7247,225.1061,777.8369,1000,53860.5,9.46281918652379e-06,0.0248650444270349,0.0939573230459571,0.875924416047175,4,395,,,0.072992700729927,0.0760456273764259,0.0150375939849624,0.0276679841897233,10,20,2,7
193,Pershing Elementary,14086.509,0.0784540300226266,302.5524,2013.8955,5931.5909,1661.86666666667,162253.722222222,0.0465732567238625,0.104041100602002,0.570177444248252,0.242040217345547,8,1733,1283.875,61626,0.125,0.125307125307125,0.0903954802259887,0.0952380952380952,25,51,16,32
